Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
42;8.400030984533728;1,530;0;8.201957;105,465;105,465;0;0;2,275;1.001214;6.857143;329.430959;37,551;67,914;105,465;0;0;0;0.0001230954778173093;0.0001360363480949545;9.107065;19.001781;0.238075;105,593;15,600
45;9.000100642365;1,528;0;8.233707;105,465;105,465;0;0;2,275;1.001214;6.857143;340.932335;37,551;67,914;105,465;0;0;0;0.0001229812823408019;0.0001366125339172415;9.107065;19.001781;0.238075;105,593;15,600
43;8.600109065958565;1,478;0;7.961256;105,465;105,465;0;0;1,950;1.001214;8.000000;337.394543;37,551;67,914;105,465;0;0;0;0.000132138034995169;0.000137087013681209;9.107065;19.001781;0.238075;105,593;15,600
46;9.200099045826075;1,483;0;7.920877;105,465;105,465;0;0;1,950;1.001214;8.000000;348.854741;37,551;67,914;105,465;0;0;0;0.0001306631206340675;0.0001371298619826712;9.107065;19.001781;0.238075;105,593;15,600
44;8.800051429773873;1,478;0;7.880661;105,465;105,465;0;0;1,625;1.001214;9.600000;345.277089;37,551;67,914;105,465;0;0;0;0.0001334262808756583;0.000136981141272729;9.107065;19.001781;0.238075;105,593;15,600
47;9.400068246838444;1,474;0;7.895137;105,465;105,465;0;0;1,950;1.001214;8.000000;356.751351;37,551;67,914;105,465;0;0;0;0.000132419965898835;0.0001371243049863115;9.107065;19.001781;0.238075;105,593;15,600
45;9.000100642365;1,528;0;8.199371;105,465;105,465;0;0;2,275;1.001214;6.857143;353.478345;37,551;67,914;105,465;0;0;0;0.0001229812823408019;0.0001366125339172415;9.107065;19.001781;0.238075;105,593;15,600
48;9.600023485716537;1,500;0;8.065219;105,465;105,465;0;0;2,366;1.001214;6.593407;364.818613;37,551;67,914;105,465;0;0;0;0.000125251733108651;0.0001376302740369589;9.107065;19.001781;0.238075;105,593;15,600
46;9.200099045826075;1,483;0;7.965574;105,465;105,465;0;0;1,950;1.001214;8.000000;361.446002;37,551;67,914;105,465;0;0;0;0.0001306631206340675;0.0001371298619826712;9.107065;19.001781;0.238075;105,593;15,600
49;9.80004175815027;1,490;0;7.987461;105,465;105,465;0;0;1,950;1.001214;8.000000;372.807525;37,551;67,914;105,465;0;0;0;0.0001263863494786518;0.0001378058213431225;9.107065;19.001781;0.238075;105,593;15,600
47;9.400068246838444;1,474;0;7.908356;105,465;105,465;0;0;1,950;1.001214;8.000000;369.356172;37,551;67,914;105,465;0;0;0;0.000132419965898835;0.0001371243049863115;9.107065;19.001781;0.238075;105,593;15,600
50;10.00009648567921;1,470;0;7.877068;105,465;105,465;0;0;1,950;1.001214;8.000000;380.686283;37,551;67,914;105,465;0;0;0;0.0001330169176702869;0.0001376401958233263;9.107065;19.001781;0.238075;105,593;15,600

# Part:  Number of output file with particles data.
# TimeStep [s]:  Physical time of simulation.
# Steps:  Number of calculation steps since the previous PART.
# DTsMin:  Number of times the Dt is updated with the minimum allowed value (can be 2 times per step when Symplectic is used).
# PartRuntime [s]:  Runtime of last PART simulation.
# NpSave:  Number of selected particles to save.
# NpSim:  Number of particles used in simulation (normal + periodic particles).
# NpNew:  Number of new fluid particles created by inlet conditions since the previous PART.
# NpOut:  Number of excluded fluid particles since the previous PART.
# NctSim:  Number of cells used in simulation for particle search.
# NpAlloc [X]:  Over-allocation memory for particles NpAlloc/NpSim.
# NctAlloc [X]:  Over-allocation memory for cells NctAlloc/NctSim.
# SimRuntime [s]:  Total runtime of simulation (initialisation tasks not included).
# NpbSim:  Number of fixed and moving particles (includes periodic particles).
# NpfSim:  Number of fluid and floating particles (includes periodic particles).
# NpNormal:  Total number of particles without periodic particles.
# NpOutPos:  Number of excluded particles due to invalid position.
# NpOutRho:  Number of excluded particles due to invalid density.
# NpOutMov:  Number of excluded particles due to invalid movement.
# DtMin [s]:  Minimum value of Dt since the previous PART.
# DtMax [s]:  Maximum value of Dt since the previous PART.
# MemCPU [MiB]:  Current CPU memory allocated (only includes the most memory intensive objects).
# MemGPU [MiB]:  Current GPU memory allocated (only includes the most memory intensive objects).
# MemGPU_Cells [MiB]:  Current GPU memory allocated for cells according to NctAlloc.
# NpAlloc:  Number of supported particles with memory allocated.
# NctAlloc:  Number of supported cells with memory allocated.
48;9.600023485716537;1,500;0;6.565423;105,465;105,465;0;0;2,366;1.001214;6.593407;375.923569;37,551;67,914;105,465;0;0;0;0.000125251733108651;0.0001376302740369589;9.107065;19.001781;0.238075;105,593;15,600
49;9.80004175815027;1,490;0;2.341068;105,465;105,465;0;0;1,950;1.001214;8.000000;378.266547;37,551;67,914;105,465;0;0;0;0.0001263863494786518;0.0001378058213431225;9.107065;19.001781;0.238075;105,593;15,600
50;10.00009648567921;1,470;0;2.277989;105,465;105,465;0;0;1,950;1.001214;8.000000;380.547045;37,551;67,914;105,465;0;0;0;0.0001330169176702869;0.0001376401958233263;9.107065;19.001781;0.238075;105,593;15,600

# Part:  Number of output file with particles data.
# TimeStep [s]:  Physical time of simulation.
# Steps:  Number of calculation steps since the previous PART.
# DTsMin:  Number of times the Dt is updated with the minimum allowed value (can be 2 times per step when Symplectic is used).
# PartRuntime [s]:  Runtime of last PART simulation.
# NpSave:  Number of selected particles to save.
# NpSim:  Number of particles used in simulation (normal + periodic particles).
# NpNew:  Number of new fluid particles created by inlet conditions since the previous PART.
# NpOut:  Number of excluded fluid particles since the previous PART.
# NctSim:  Number of cells used in simulation for particle search.
# NpAlloc [X]:  Over-allocation memory for particles NpAlloc/NpSim.
# NctAlloc [X]:  Over-allocation memory for cells NctAlloc/NctSim.
# SimRuntime [s]:  Total runtime of simulation (initialisation tasks not included).
# NpbSim:  Number of fixed and moving particles (includes periodic particles).
# NpfSim:  Number of fluid and floating particles (includes periodic particles).
# NpNormal:  Total number of particles without periodic particles.
# NpOutPos:  Number of excluded particles due to invalid position.
# NpOutRho:  Number of excluded particles due to invalid density.
# NpOutMov:  Number of excluded particles due to invalid movement.
# DtMin [s]:  Minimum value of Dt since the previous PART.
# DtMax [s]:  Maximum value of Dt since the previous PART.
# MemCPU [MiB]:  Current CPU memory allocated (only includes the most memory intensive objects).
# MemGPU [MiB]:  Current GPU memory allocated (only includes the most memory intensive objects).
# MemGPU_Cells [MiB]:  Current GPU memory allocated for cells according to NctAlloc.
